"SourceFile"	"FileName"	"Make"	"Model"	"DateTimeOriginal"	"TriggerMode"	"Sequence"	"EventNumber"	"MoonPhase"	"AmbientTemperature"	"SerialNumber"	"Contrast"	"Brightness"	"Sharpness"	"Saturation"	"NewFileName"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0075.JPG"	"IMG_0075.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:01 20:00:00"	"T"	"0 0"	51	0	4	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-01_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0076.JPG"	"IMG_0076.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:02 08:00:00"	"T"	"0 0"	52	0	3	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-02_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0077.JPG"	"IMG_0077.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:02 11:33:36"	"M"	"1 2"	13	0	5	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-02_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0078.JPG"	"IMG_0078.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:02 11:33:36"	"M"	"2 2"	13	0	5	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-02_0003.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0079.JPG"	"IMG_0079.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:02 20:00:00"	"T"	"0 0"	53	0	4	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-02_0004.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0080.JPG"	"IMG_0080.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:03 08:00:00"	"T"	"0 0"	54	1	3	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-03_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0081.JPG"	"IMG_0081.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:03 20:00:00"	"T"	"0 0"	55	1	4	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-03_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0082.JPG"	"IMG_0082.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:04 08:00:00"	"T"	"0 0"	56	1	3	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-04_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0083.JPG"	"IMG_0083.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:04 20:00:00"	"T"	"0 0"	57	1	3	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-04_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0084.JPG"	"IMG_0084.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:04 23:31:58"	"M"	"1 2"	14	1	2	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-04_0003.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0085.JPG"	"IMG_0085.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:04 23:31:58"	"M"	"2 2"	14	1	2	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-04_0004.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0086.JPG"	"IMG_0086.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:05 08:00:00"	"T"	"0 0"	58	1	3	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-05_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0087.JPG"	"IMG_0087.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:05 20:00:00"	"T"	"0 0"	59	1	4	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-05_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0088.JPG"	"IMG_0088.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:06 08:00:00"	"T"	"0 0"	60	2	4	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-06_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0089.JPG"	"IMG_0089.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:06 20:00:00"	"T"	"0 0"	61	2	4	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-06_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0090.JPG"	"IMG_0090.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:07 04:08:36"	"M"	"1 2"	15	2	3	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-07_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0091.JPG"	"IMG_0091.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:07 04:08:36"	"M"	"2 2"	15	2	3	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-07_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_3/2020/IMG_0092.JPG"	"IMG_0092.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:08:07 08:00:00"	"T"	"0 0"	62	2	3	"S750HK04275840"	143	239	16	0	"vj_ga_hu_3_2019-08-07_0003.JPG"
